product_sku,order_id,quantity,unit_price,discount
630,306,14,898.68,9.56
99,2978,7,700.65,20.12
1631,3877,14,338.73,7.19
3571,2281,4,726.78,18.67
4163,154,9,752.69,11.72
2871,1955,13,858.19,8.46
194,1929,6,876.46,23.41
3018,2466,1,585.46,10.4
4661,2057,15,818.76,21.63
489,2567,12,75.08,24.69
2809,1234,14,642.72,23.17
743,4859,3,853.16,2.05
3731,2868,4,217.91,3.56
1545,4954,15,684.97,23.26
6,3788,4,261.1,1.14
583,3825,7,608.39,9.37
4193,4848,8,818.54,19.11
3065,403,7,220.65,23.76
4349,4296,15,548.5,1.24
38,4215,14,932.37,15.4
1179,4576,8,34.76,5.81
887,4915,15,391.27,24.93
2769,4289,10,522.79,12.77
4920,4412,8,484.73,17.24
4214,1483,15,255.28,12.92
4196,4490,15,363.69,10.92
1771,907,12,276.4,8.89
225,4187,9,109.06,1.76
4163,3569,11,752.69,12.1
1908,3218,2,955.15,20.32
33,3659,13,148.12,8.05
3206,1166,4,198.96,5.47
3007,3228,14,139.22,21.52
1509,4413,7,197.27,6.69
561,2592,10,723.09,5.77
4196,4826,12,363.69,5.37
4931,165,14,621.8,15.42
4061,4810,10,18.76,24.09
4215,3601,12,31.94,19.79
3073,1791,4,98.75,20.33
1078,3496,2,978.64,20.72
3429,3149,14,582.91,21.01
4349,4346,2,548.5,3.42
1348,4505,9,124.55,20.02
1263,3894,2,149.03,10.1
1847,264,2,539.92,4.15
4151,1736,7,478.87,19.75
3371,970,10,674.74,24.42
97,16,11,729.21,24.88
1545,2853,6,684.97,7.92
595,3577,11,940.35,13.46
4797,4161,14,464.9,20.56
4146,2076,3,757.78,3.26
4258,3510,15,727.57,3.37
3980,1844,5,177.01,6.64
1629,714,11,476.1,9.4
4671,3836,9,931.74,24.29
3905,1809,3,361.72,15.89
4417,688,11,557.71,11.7
42,4788,14,152.95,3.27
436,2951,2,607.45,21.83
3410,3385,3,713.29,12.22
2058,3260,5,651.18,9.01
3448,4265,14,523.44,11.38
420,115,11,21.06,19.25
